file	destination	classification	blockers	workstreams
com/maddyhome/idea/vim/KeyHandler.kt	jvmMain	direct	W2-keystroke;W4-java-util	W2,W4
com/maddyhome/idea/vim/action/CommandHistoryAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/CommandProvider.kt	jvmMain	direct	W4-java-io	W4
com/maddyhome/idea/vim/action/EngineCommandProvider.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/action/CommandProvider.kt)	W4-java-io	W4
com/maddyhome/idea/vim/action/ResetModeAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/KeyHandler.kt)	W2-keystroke;W4-java-util	W2,W4
com/maddyhome/idea/vim/action/SearchHistoryAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/ShowLastOutputAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/BreakUndoSequenceAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/Extension.kt	jvmMain	direct	W2-keystroke	W2
com/maddyhome/idea/vim/action/change/LazyVimCommand.kt	jvmMain	direct	W2-keystroke;W4-java-lang	W2,W4
com/maddyhome/idea/vim/action/change/LineUndoAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/RedoAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/UndoAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/VimRepeater.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/command/Command.kt)	W4-java-util	W4
com/maddyhome/idea/vim/action/change/change/AutoIndentLinesVisualAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/change/ChangeCaseLowerMotionAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ChangeCaseLowerVisualAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ChangeCaseToggleCharacterAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ChangeCaseToggleMotionAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ChangeCaseToggleVisualAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ChangeCaseUpperMotionAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ChangeCaseUpperVisualAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ChangeCharacterAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ChangeCharactersAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/change/ChangeEndOfLineAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/change/ChangeInInsertSequenceAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ChangeLastGlobalSearchReplaceAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ChangeLastSearchReplaceAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ChangeLineAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/change/ChangeMotionAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/change/ChangeReplaceAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ChangeRot13MotionAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ChangeRot13VisualAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ChangeVisualAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ChangeVisualCharacterAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ChangeVisualLinesAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/change/ChangeVisualLinesEndAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/change/FilterMotionAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/change/ReformatCodeMotionAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ReformatCodeMotionPreserveCursorAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/ReformatCodeVisualAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/change/ReformatCodeVisualPreserveCursorAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/change/number/ChangeNumberIncAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/change/number/ChangeVisualNumberIncAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/delete/DeleteCharacterAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/delete/DeleteEndOfLineAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/delete/DeleteMotionAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/delete/DeleteVisualAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/delete/DeleteVisualLinesAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/delete/DeleteVisualLinesEndAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/insert/InsertAfterCursorAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/InsertAfterLineEndAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/InsertAtPreviousInsertAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/InsertBackspaceAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/InsertBeforeCursorAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/InsertBeforeFirstNonBlankAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/InsertCharacterAroundCursorAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/InsertCompletedDigraphAction.kt	jvmMain	direct	W2-keystroke	W2
com/maddyhome/idea/vim/action/change/insert/InsertCompletedLiteralAction.kt	jvmMain	direct	W2-keystroke	W2
com/maddyhome/idea/vim/action/change/insert/InsertDeleteInsertedTextAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/insert/InsertDeletePreviousWordAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/insert/InsertEnterAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/insert/InsertExitModeAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/InsertFilePathCompletionAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/InsertInsertAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/insert/InsertLineCompletionAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/InsertLineStartAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/InsertNewLineBelowAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/InsertPreviousInsertAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/InsertRegisterAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/InsertSingleCommandAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/insert/InsertXCompletionAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/ReplaceModeBackspace.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/VisualBlockAppendAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/insert/VisualInsertAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/shift/AutoIndentMotionAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/change/shift/ShiftLeft.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/change/shift/ShiftRight.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/copy/PutTextAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/copy/PutVisualTextAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/copy/YankLineAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/copy/YankMotionAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/copy/YankVisualAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/copy/YankVisualLinesAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/ex/CommandLineActionHandler.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/ex/CommandLineCompletionAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/ex/CommandLineParser.kt	commonMain	-	-	-
com/maddyhome/idea/vim/action/ex/CopyModelessSelectionAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/ex/DeleteNextCharAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/VimCommandLine.kt)	W2-keystroke	W2
com/maddyhome/idea/vim/action/ex/DeletePreviousCharAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/VimCommandLine.kt)	W2-keystroke	W2
com/maddyhome/idea/vim/action/ex/DeletePreviousWordAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/VimCommandLine.kt)	W2-keystroke	W2
com/maddyhome/idea/vim/action/ex/DeleteToCaretAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/VimCommandLine.kt)	W2-keystroke	W2
com/maddyhome/idea/vim/action/ex/ExEntryAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/ex/InsertCommandLineTextActions.kt	jvmMain	direct	W2-awt;W2-keystroke	W2
com/maddyhome/idea/vim/action/ex/InsertFilenameUnderCaretAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/VimCommandLine.kt)	W2-keystroke	W2
com/maddyhome/idea/vim/action/ex/LeaveCommandLineAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/ex/MoveCaretLeftAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/VimCommandLine.kt)	W2-keystroke	W2
com/maddyhome/idea/vim/action/ex/MoveCaretRightAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/VimCommandLine.kt)	W2-keystroke	W2
com/maddyhome/idea/vim/action/ex/MoveCaretToLineEnd.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/VimCommandLine.kt)	W2-keystroke	W2
com/maddyhome/idea/vim/action/ex/MoveCaretToLineStart.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/VimCommandLine.kt)	W2-keystroke	W2
com/maddyhome/idea/vim/action/ex/MoveCaretToNextBigWordAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/VimCommandLine.kt)	W2-keystroke	W2
com/maddyhome/idea/vim/action/ex/MoveCaretToPreviousBigWordAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/VimCommandLine.kt)	W2-keystroke	W2
com/maddyhome/idea/vim/action/ex/ProcessExEntryActions.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/ex/SelectNewerHistoryAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/VimCommandLine.kt)	W2-keystroke	W2
com/maddyhome/idea/vim/action/ex/SelectNewerHistoryFilteredAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/VimCommandLine.kt)	W2-keystroke	W2
com/maddyhome/idea/vim/action/ex/SelectOlderHistoryAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/VimCommandLine.kt)	W2-keystroke	W2
com/maddyhome/idea/vim/action/ex/SelectOlderHistoryFilteredAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/VimCommandLine.kt)	W2-keystroke	W2
com/maddyhome/idea/vim/action/ex/ToggleInsertModeAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/file/FileCloseAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/file/FileGetAsciiAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/file/FileGetFileInfoAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/file/FileGetHexAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/file/FileGetLocationInfoAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/file/FilePreviousAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/file/FileSaveCloseAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/fold/FoldActions.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/fold/FoldState.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/macro/PlaybackRegisterAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/macro/ToggleRecordingAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/changelist/MotionGotoChangeAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/gn/GnNextTextObject.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/gn/GnPreviousTextObject.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/gn/VisualSelectSearch.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionArrowLeftAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionArrowRightAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionBackspaceAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionColumnAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionEndAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionFirstColumnAction.kt	jvmMain	direct	W4-java-util	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionFirstNonSpaceAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionFirstScreenColumnAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionFirstScreenNonSpaceAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionHomeAction.kt	jvmMain	transitive(+1 via com/maddyhome/idea/vim/api/EngineEditorHelper.kt)	W4-java-io;W4-java-lang	W4
com/maddyhome/idea/vim/action/motion/leftright/MotionLastColumnAction.kt	jvmMain	direct	W4-java-util	W4
