file	workstreams
KeyHandler.kt	W2,W4
action/change/LazyVimCommand.kt	W2,W4
api/EngineEditorHelper.kt	W4
api/Options.kt	W4
api/VimActionExecutor.kt	W4
api/VimApplication.kt	W2
api/VimCaret.kt	W2
api/VimChangeGroup.kt	W2,W4
api/VimClipboardManager.kt	W2
api/VimCommandGroup.kt	W4
api/VimCommandLine.kt	W2,W4
api/VimDigraphGroupBase.kt	W4
api/VimInjector.kt	W4
api/VimJumpService.kt	W4
api/VimKeyGroup.kt	W2,W4
api/VimMarkServiceBase.kt	W4
api/VimMessages.kt	W4
api/VimModalInput.kt	W2
api/VimModalInputService.kt	W2
api/VimMotionGroupBase.kt	W4
api/VimOptionGroup.kt	W4
api/VimProcessGroup.kt	W4
api/VimSearchHelper.kt	W4
api/VimStringParser.kt	W2,W4
api/VimscriptExecutor.kt	W4
api/VimscriptFunctionService.kt	W4
command/Command.kt	W4
command/CommandBuilder.kt	W2,W4
command/MappingMode.kt	W4
command/MappingProcessor.kt	W2
command/MappingState.kt	W2
common/CommandAlias.kt	W4
common/DigraphSequence.kt	W2
common/TextRange.kt	W4
common/VimListenersNotifier.kt	W4
diagnostic/VimLogger.kt	W3
ex/ExExceptions.kt	W4
ex/ranges/Address.kt	W4
ex/ranges/Range.kt	W4
group/visual/VimSelection.kt	W4
handler/EditorActionHandlerBase.kt	W2,W3,W4
helper/CharacterHelper.kt	W4
helper/EngineHelper.kt	W3,W4
helper/EngineMessageHelper.kt	W4
helper/EngineStringHelper.kt	W2
helper/StringAndKeys.kt	W2
history/VimHistory.kt	W4
impl/state/VimStateMachineImpl.kt	W4
key/KeyConsumer.kt	W2
key/KeyMapping.kt	W2,W4
key/KeySource.kt	W2
key/KeyStack.kt	W2
key/KeyStrokeTrie.kt	W2
key/MappingInfo.kt	W2
key/RequiredShortcut.kt	W2
key/ShortcutOwner.kt	W4
key/consumers/CharArgumentConsumer.kt	W2
key/consumers/CommandCountConsumer.kt	W2
key/consumers/CommandKeyConsumer.kt	W2
key/consumers/DeleteCommandCountConsumer.kt	W2
key/consumers/DigraphConsumer.kt	W2
key/consumers/EditorResetConsumer.kt	W2
key/consumers/ForcedMotionConsumer.kt	W2
key/consumers/LangMapConsumer.kt	W2
key/consumers/ModalInputConsumer.kt	W2
key/consumers/ModeInputConsumer.kt	W2
key/consumers/SelectRegisterConsumer.kt	W2
key/consumers/StartSelectRegisterConsumer.kt	W2
key/interceptors/VimInputInterceptor.kt	W2
mark/Marks.kt	W4
options/Option.kt	W4
options/helpers/GuiCursorOptionHelper.kt	W4
options/helpers/KeywordOptionHelper.kt	W4
register/Register.kt	W2,W4
register/VimRegisterGroup.kt	W2,W4
state/VimStateMachine.kt	W4
thinapi/VimHighlightingService.kt	W6
vimscript/model/Executable.kt	W4
vimscript/model/LazyInstance.kt	W4
vimscript/model/commands/Command.kt	W4
vimscript/model/commands/LazyExCommandInstance.kt	W4
vimscript/model/commands/SortCommand.kt	W4
vimscript/model/datatypes/VimFloat.kt	W4
vimscript/services/VariableService.kt	W4
